center,left,right,steering,throttle,brake,speed
normal\IMG\center_2018_04_20_13_48_23_484.jpg,normal\IMG\left_2018_04_20_13_48_23_484.jpg,normal\IMG\right_2018_04_20_13_48_23_484.jpg,0.0,1.0,0,30.19003
normal\IMG\center_2018_04_20_13_48_23_625.jpg,normal\IMG\left_2018_04_20_13_48_23_625.jpg,normal\IMG\right_2018_04_20_13_48_23_625.jpg,0.0,1.0,0,30.19029
normal\IMG\center_2018_04_20_13_48_23_693.jpg,normal\IMG\left_2018_04_20_13_48_23_693.jpg,normal\IMG\right_2018_04_20_13_48_23_693.jpg,-0.15,1.0,0,30.18413
normal\IMG\center_2018_04_20_13_48_23_783.jpg,normal\IMG\left_2018_04_20_13_48_23_783.jpg,normal\IMG\right_2018_04_20_13_48_23_783.jpg,-0.35,1.0,0,30.1634
normal\IMG\center_2018_04_20_13_48_23_916.jpg,normal\IMG\left_2018_04_20_13_48_23_916.jpg,normal\IMG\right_2018_04_20_13_48_23_916.jpg,-0.06395933,1.0,0,30.19057
normal\IMG\center_2018_04_20_13_48_23_991.jpg,normal\IMG\left_2018_04_20_13_48_23_991.jpg,normal\IMG\right_2018_04_20_13_48_23_991.jpg,0.0,1.0,0,30.18937
normal\IMG\center_2018_04_20_13_48_24_064.jpg,normal\IMG\left_2018_04_20_13_48_24_064.jpg,normal\IMG\right_2018_04_20_13_48_24_064.jpg,0.0,1.0,0,30.19015
normal\IMG\center_2018_04_20_13_48_24_135.jpg,normal\IMG\left_2018_04_20_13_48_24_135.jpg,normal\IMG\right_2018_04_20_13_48_24_135.jpg,0.0,1.0,0,30.19024000000001
normal\IMG\center_2018_04_20_13_48_24_206.jpg,normal\IMG\left_2018_04_20_13_48_24_206.jpg,normal\IMG\right_2018_04_20_13_48_24_206.jpg,0.0,1.0,0,30.19032
normal\IMG\center_2018_04_20_13_48_24_275.jpg,normal\IMG\left_2018_04_20_13_48_24_275.jpg,normal\IMG\right_2018_04_20_13_48_24_275.jpg,0.0,1.0,0,30.19029
normal\IMG\center_2018_04_20_13_48_24_345.jpg,normal\IMG\left_2018_04_20_13_48_24_345.jpg,normal\IMG\right_2018_04_20_13_48_24_345.jpg,0.0,1.0,0,30.19028
normal\IMG\center_2018_04_20_13_48_24_412.jpg,normal\IMG\left_2018_04_20_13_48_24_412.jpg,normal\IMG\right_2018_04_20_13_48_24_412.jpg,0.0,1.0,0,30.19001
normal\IMG\center_2018_04_20_13_48_24_486.jpg,normal\IMG\left_2018_04_20_13_48_24_486.jpg,normal\IMG\right_2018_04_20_13_48_24_486.jpg,0.0,1.0,0,30.19029
normal\IMG\center_2018_04_20_13_48_24_557.jpg,normal\IMG\left_2018_04_20_13_48_24_557.jpg,normal\IMG\right_2018_04_20_13_48_24_557.jpg,-0.15,1.0,0,30.18423
normal\IMG\center_2018_04_20_13_48_24_690.jpg,normal\IMG\left_2018_04_20_13_48_24_690.jpg,normal\IMG\right_2018_04_20_13_48_24_690.jpg,-0.5000001000000001,1.0,0,30.14535
normal\IMG\center_2018_04_20_13_48_24_759.jpg,normal\IMG\left_2018_04_20_13_48_24_759.jpg,normal\IMG\right_2018_04_20_13_48_24_759.jpg,-0.4059012,1.0,0,30.17417
normal\IMG\center_2018_04_20_13_48_24_837.jpg,normal\IMG\left_2018_04_20_13_48_24_837.jpg,normal\IMG\right_2018_04_20_13_48_24_837.jpg,-0.1781902,1.0,0,30.19244
normal\IMG\center_2018_04_20_13_48_24_904.jpg,normal\IMG\left_2018_04_20_13_48_24_904.jpg,normal\IMG\right_2018_04_20_13_48_24_904.jpg,0.0,1.0,0,30.187790000000003
normal\IMG\center_2018_04_20_13_48_24_971.jpg,normal\IMG\left_2018_04_20_13_48_24_971.jpg,normal\IMG\right_2018_04_20_13_48_24_971.jpg,0.0,1.0,0,30.1898
normal\IMG\center_2018_04_20_13_48_25_094.jpg,normal\IMG\left_2018_04_20_13_48_25_094.jpg,normal\IMG\right_2018_04_20_13_48_25_094.jpg,0.0,1.0,0,30.19024000000001
normal\IMG\center_2018_04_20_13_48_25_227.jpg,normal\IMG\left_2018_04_20_13_48_25_227.jpg,normal\IMG\right_2018_04_20_13_48_25_227.jpg,0.0,1.0,0,30.1903
normal\IMG\center_2018_04_20_13_48_25_354.jpg,normal\IMG\left_2018_04_20_13_48_25_354.jpg,normal\IMG\right_2018_04_20_13_48_25_354.jpg,0.0,1.0,0,30.19027
normal\IMG\center_2018_04_20_13_48_25_428.jpg,normal\IMG\left_2018_04_20_13_48_25_428.jpg,normal\IMG\right_2018_04_20_13_48_25_428.jpg,0.0,1.0,0,30.19027
normal\IMG\center_2018_04_20_13_48_25_540.jpg,normal\IMG\left_2018_04_20_13_48_25_540.jpg,normal\IMG\right_2018_04_20_13_48_25_540.jpg,0.0,1.0,0,30.19029
normal\IMG\center_2018_04_20_13_48_25_662.jpg,normal\IMG\left_2018_04_20_13_48_25_662.jpg,normal\IMG\right_2018_04_20_13_48_25_662.jpg,-0.15,1.0,0,30.18418
normal\IMG\center_2018_04_20_13_48_25_788.jpg,normal\IMG\left_2018_04_20_13_48_25_788.jpg,normal\IMG\right_2018_04_20_13_48_25_788.jpg,-0.18242,1.0,0,30.18676
normal\IMG\center_2018_04_20_13_48_25_911.jpg,normal\IMG\left_2018_04_20_13_48_25_911.jpg,normal\IMG\right_2018_04_20_13_48_25_911.jpg,0.0,1.0,0,30.18993
normal\IMG\center_2018_04_20_13_48_26_033.jpg,normal\IMG\left_2018_04_20_13_48_26_033.jpg,normal\IMG\right_2018_04_20_13_48_26_033.jpg,0.0,1.0,0,30.19023
normal\IMG\center_2018_04_20_13_48_26_110.jpg,normal\IMG\left_2018_04_20_13_48_26_110.jpg,normal\IMG\right_2018_04_20_13_48_26_110.jpg,0.0,1.0,0,30.19036
normal\IMG\center_2018_04_20_13_48_26_221.jpg,normal\IMG\left_2018_04_20_13_48_26_221.jpg,normal\IMG\right_2018_04_20_13_48_26_221.jpg,0.0,1.0,0,30.19029
normal\IMG\center_2018_04_20_13_48_26_341.jpg,normal\IMG\left_2018_04_20_13_48_26_341.jpg,normal\IMG\right_2018_04_20_13_48_26_341.jpg,0.0,1.0,0,30.19025
normal\IMG\center_2018_04_20_13_48_26_458.jpg,normal\IMG\left_2018_04_20_13_48_26_458.jpg,normal\IMG\right_2018_04_20_13_48_26_458.jpg,-0.15,1.0,0,30.18419
normal\IMG\center_2018_04_20_13_48_26_570.jpg,normal\IMG\left_2018_04_20_13_48_26_570.jpg,normal\IMG\right_2018_04_20_13_48_26_570.jpg,-0.45,1.0,0,30.15143
normal\IMG\center_2018_04_20_13_48_26_690.jpg,normal\IMG\left_2018_04_20_13_48_26_690.jpg,normal\IMG\right_2018_04_20_13_48_26_690.jpg,-0.14695650000000002,1.0,0,30.19184000000001
normal\IMG\center_2018_04_20_13_48_26_812.jpg,normal\IMG\left_2018_04_20_13_48_26_812.jpg,normal\IMG\right_2018_04_20_13_48_26_812.jpg,0.0,1.0,0,30.1898
normal\IMG\center_2018_04_20_13_48_26_929.jpg,normal\IMG\left_2018_04_20_13_48_26_929.jpg,normal\IMG\right_2018_04_20_13_48_26_929.jpg,0.0,1.0,0,30.19028
normal\IMG\center_2018_04_20_13_48_27_057.jpg,normal\IMG\left_2018_04_20_13_48_27_057.jpg,normal\IMG\right_2018_04_20_13_48_27_057.jpg,0.0,1.0,0,30.19025
normal\IMG\center_2018_04_20_13_48_27_164.jpg,normal\IMG\left_2018_04_20_13_48_27_164.jpg,normal\IMG\right_2018_04_20_13_48_27_164.jpg,0.0,1.0,0,30.19031
normal\IMG\center_2018_04_20_13_48_27_281.jpg,normal\IMG\left_2018_04_20_13_48_27_281.jpg,normal\IMG\right_2018_04_20_13_48_27_281.jpg,-0.25,1.0,0,30.17486
normal\IMG\center_2018_04_20_13_48_27_396.jpg,normal\IMG\left_2018_04_20_13_48_27_396.jpg,normal\IMG\right_2018_04_20_13_48_27_396.jpg,-0.33736940000000004,1.0,0,30.17698
normal\IMG\center_2018_04_20_13_48_27_512.jpg,normal\IMG\left_2018_04_20_13_48_27_512.jpg,normal\IMG\right_2018_04_20_13_48_27_512.jpg,0.0,1.0,0,30.18845
normal\IMG\center_2018_04_20_13_48_27_627.jpg,normal\IMG\left_2018_04_20_13_48_27_627.jpg,normal\IMG\right_2018_04_20_13_48_27_627.jpg,0.0,1.0,0,30.1901
normal\IMG\center_2018_04_20_13_48_27_747.jpg,normal\IMG\left_2018_04_20_13_48_27_747.jpg,normal\IMG\right_2018_04_20_13_48_27_747.jpg,0.0,1.0,0,30.1903
normal\IMG\center_2018_04_20_13_48_27_851.jpg,normal\IMG\left_2018_04_20_13_48_27_851.jpg,normal\IMG\right_2018_04_20_13_48_27_851.jpg,0.0,1.0,0,30.19029
normal\IMG\center_2018_04_20_13_48_27_922.jpg,normal\IMG\left_2018_04_20_13_48_27_922.jpg,normal\IMG\right_2018_04_20_13_48_27_922.jpg,0.0,1.0,0,30.19024000000001
normal\IMG\center_2018_04_20_13_48_28_017.jpg,normal\IMG\left_2018_04_20_13_48_28_017.jpg,normal\IMG\right_2018_04_20_13_48_28_017.jpg,-0.15,1.0,0,30.18429
normal\IMG\center_2018_04_20_13_48_28_131.jpg,normal\IMG\left_2018_04_20_13_48_28_131.jpg,normal\IMG\right_2018_04_20_13_48_28_131.jpg,-0.45,1.0,0,30.15143
normal\IMG\center_2018_04_20_13_48_28_242.jpg,normal\IMG\left_2018_04_20_13_48_28_242.jpg,normal\IMG\right_2018_04_20_13_48_28_242.jpg,-0.5085917000000001,1.0,0,30.16663
normal\IMG\center_2018_04_20_13_48_28_354.jpg,normal\IMG\left_2018_04_20_13_48_28_354.jpg,normal\IMG\right_2018_04_20_13_48_28_354.jpg,-0.17634520000000006,1.0,0,30.19433
normal\IMG\center_2018_04_20_13_48_28_468.jpg,normal\IMG\left_2018_04_20_13_48_28_468.jpg,normal\IMG\right_2018_04_20_13_48_28_468.jpg,0.0,1.0,0,30.18896
normal\IMG\center_2018_04_20_13_48_28_575.jpg,normal\IMG\left_2018_04_20_13_48_28_575.jpg,normal\IMG\right_2018_04_20_13_48_28_575.jpg,0.0,1.0,0,30.19022
normal\IMG\center_2018_04_20_13_48_28_679.jpg,normal\IMG\left_2018_04_20_13_48_28_679.jpg,normal\IMG\right_2018_04_20_13_48_28_679.jpg,0.0,1.0,0,30.19026
normal\IMG\center_2018_04_20_13_48_28_790.jpg,normal\IMG\left_2018_04_20_13_48_28_790.jpg,normal\IMG\right_2018_04_20_13_48_28_790.jpg,0.0,1.0,0,30.19028
normal\IMG\center_2018_04_20_13_48_28_909.jpg,normal\IMG\left_2018_04_20_13_48_28_909.jpg,normal\IMG\right_2018_04_20_13_48_28_909.jpg,0.0,1.0,0,30.19026
normal\IMG\center_2018_04_20_13_48_29_012.jpg,normal\IMG\left_2018_04_20_13_48_29_012.jpg,normal\IMG\right_2018_04_20_13_48_29_012.jpg,0.0,1.0,0,30.1903
normal\IMG\center_2018_04_20_13_48_29_126.jpg,normal\IMG\left_2018_04_20_13_48_29_126.jpg,normal\IMG\right_2018_04_20_13_48_29_126.jpg,0.0,1.0,0,30.1903
normal\IMG\center_2018_04_20_13_48_29_228.jpg,normal\IMG\left_2018_04_20_13_48_29_228.jpg,normal\IMG\right_2018_04_20_13_48_29_228.jpg,-0.15,1.0,0,30.18418
normal\IMG\center_2018_04_20_13_48_29_341.jpg,normal\IMG\left_2018_04_20_13_48_29_341.jpg,normal\IMG\right_2018_04_20_13_48_29_341.jpg,-0.4,1.0,0,30.15744
normal\IMG\center_2018_04_20_13_48_29_456.jpg,normal\IMG\left_2018_04_20_13_48_29_456.jpg,normal\IMG\right_2018_04_20_13_48_29_456.jpg,-0.145254,1.0,0,30.191340000000004
normal\IMG\center_2018_04_20_13_48_29_558.jpg,normal\IMG\left_2018_04_20_13_48_29_558.jpg,normal\IMG\right_2018_04_20_13_48_29_558.jpg,0.0,1.0,0,30.18953
normal\IMG\center_2018_04_20_13_48_29_670.jpg,normal\IMG\left_2018_04_20_13_48_29_670.jpg,normal\IMG\right_2018_04_20_13_48_29_670.jpg,0.0,1.0,0,30.19025
normal\IMG\center_2018_04_20_13_48_29_785.jpg,normal\IMG\left_2018_04_20_13_48_29_785.jpg,normal\IMG\right_2018_04_20_13_48_29_785.jpg,0.0,1.0,0,30.19034000000001
normal\IMG\center_2018_04_20_13_48_29_909.jpg,normal\IMG\left_2018_04_20_13_48_29_909.jpg,normal\IMG\right_2018_04_20_13_48_29_909.jpg,0.0,1.0,0,30.19035
normal\IMG\center_2018_04_20_13_48_30_025.jpg,normal\IMG\left_2018_04_20_13_48_30_025.jpg,normal\IMG\right_2018_04_20_13_48_30_025.jpg,0.0,1.0,0,30.19027
normal\IMG\center_2018_04_20_13_48_30_133.jpg,normal\IMG\left_2018_04_20_13_48_30_133.jpg,normal\IMG\right_2018_04_20_13_48_30_133.jpg,-0.25,1.0,0,30.17471
normal\IMG\center_2018_04_20_13_48_30_256.jpg,normal\IMG\left_2018_04_20_13_48_30_256.jpg,normal\IMG\right_2018_04_20_13_48_30_256.jpg,-0.3069427,1.0,0,30.18021
normal\IMG\center_2018_04_20_13_48_30_364.jpg,normal\IMG\left_2018_04_20_13_48_30_364.jpg,normal\IMG\right_2018_04_20_13_48_30_364.jpg,0.0,1.0,0,30.18867
normal\IMG\center_2018_04_20_13_48_30_480.jpg,normal\IMG\left_2018_04_20_13_48_30_480.jpg,normal\IMG\right_2018_04_20_13_48_30_480.jpg,0.0,1.0,0,30.19002
normal\IMG\center_2018_04_20_13_48_30_600.jpg,normal\IMG\left_2018_04_20_13_48_30_600.jpg,normal\IMG\right_2018_04_20_13_48_30_600.jpg,0.0,1.0,0,30.19031
normal\IMG\center_2018_04_20_13_48_30_718.jpg,normal\IMG\left_2018_04_20_13_48_30_718.jpg,normal\IMG\right_2018_04_20_13_48_30_718.jpg,0.0,1.0,0,30.19029
normal\IMG\center_2018_04_20_13_48_30_843.jpg,normal\IMG\left_2018_04_20_13_48_30_843.jpg,normal\IMG\right_2018_04_20_13_48_30_843.jpg,0.0,1.0,0,30.19029
normal\IMG\center_2018_04_20_13_48_30_958.jpg,normal\IMG\left_2018_04_20_13_48_30_958.jpg,normal\IMG\right_2018_04_20_13_48_30_958.jpg,-0.25,1.0,0,30.174740000000003
normal\IMG\center_2018_04_20_13_48_31_077.jpg,normal\IMG\left_2018_04_20_13_48_31_077.jpg,normal\IMG\right_2018_04_20_13_48_31_077.jpg,-0.3322683,1.0,0,30.17753
normal\IMG\center_2018_04_20_13_48_31_191.jpg,normal\IMG\left_2018_04_20_13_48_31_191.jpg,normal\IMG\right_2018_04_20_13_48_31_191.jpg,0.0,1.0,0,30.18841
normal\IMG\center_2018_04_20_13_48_31_299.jpg,normal\IMG\left_2018_04_20_13_48_31_299.jpg,normal\IMG\right_2018_04_20_13_48_31_299.jpg,0.0,1.0,0,30.18999
normal\IMG\center_2018_04_20_13_48_31_414.jpg,normal\IMG\left_2018_04_20_13_48_31_414.jpg,normal\IMG\right_2018_04_20_13_48_31_414.jpg,0.0,1.0,0,30.19028
normal\IMG\center_2018_04_20_13_48_31_533.jpg,normal\IMG\left_2018_04_20_13_48_31_533.jpg,normal\IMG\right_2018_04_20_13_48_31_533.jpg,0.0,1.0,0,30.19027
normal\IMG\center_2018_04_20_13_48_31_651.jpg,normal\IMG\left_2018_04_20_13_48_31_651.jpg,normal\IMG\right_2018_04_20_13_48_31_651.jpg,0.0,1.0,0,30.190490000000004
normal\IMG\center_2018_04_20_13_48_31_768.jpg,normal\IMG\left_2018_04_20_13_48_31_768.jpg,normal\IMG\right_2018_04_20_13_48_31_768.jpg,-0.15,1.0,0,30.18421
normal\IMG\center_2018_04_20_13_48_31_890.jpg,normal\IMG\left_2018_04_20_13_48_31_890.jpg,normal\IMG\right_2018_04_20_13_48_31_890.jpg,-0.45,1.0,0,30.15141
normal\IMG\center_2018_04_20_13_48_32_007.jpg,normal\IMG\left_2018_04_20_13_48_32_007.jpg,normal\IMG\right_2018_04_20_13_48_32_007.jpg,-0.1926247,1.0,0,30.19156
normal\IMG\center_2018_04_20_13_48_32_084.jpg,normal\IMG\left_2018_04_20_13_48_32_084.jpg,normal\IMG\right_2018_04_20_13_48_32_084.jpg,0.0,1.0,0,30.18799000000001
normal\IMG\center_2018_04_20_13_48_32_186.jpg,normal\IMG\left_2018_04_20_13_48_32_186.jpg,normal\IMG\right_2018_04_20_13_48_32_186.jpg,0.0,1.0,0,30.19007
normal\IMG\center_2018_04_20_13_48_32_306.jpg,normal\IMG\left_2018_04_20_13_48_32_306.jpg,normal\IMG\right_2018_04_20_13_48_32_306.jpg,0.0,1.0,0,30.19027
normal\IMG\center_2018_04_20_13_48_32_430.jpg,normal\IMG\left_2018_04_20_13_48_32_430.jpg,normal\IMG\right_2018_04_20_13_48_32_430.jpg,0.0,1.0,0,30.19024000000001
normal\IMG\center_2018_04_20_13_48_32_549.jpg,normal\IMG\left_2018_04_20_13_48_32_549.jpg,normal\IMG\right_2018_04_20_13_48_32_549.jpg,0.0,1.0,0,30.1903
normal\IMG\center_2018_04_20_13_48_32_674.jpg,normal\IMG\left_2018_04_20_13_48_32_674.jpg,normal\IMG\right_2018_04_20_13_48_32_674.jpg,0.0,1.0,0,30.19031
normal\IMG\center_2018_04_20_13_48_32_795.jpg,normal\IMG\left_2018_04_20_13_48_32_795.jpg,normal\IMG\right_2018_04_20_13_48_32_795.jpg,0.0,1.0,0,30.19032
normal\IMG\center_2018_04_20_13_48_32_930.jpg,normal\IMG\left_2018_04_20_13_48_32_930.jpg,normal\IMG\right_2018_04_20_13_48_32_930.jpg,0.0,1.0,0,30.19029
normal\IMG\center_2018_04_20_13_48_33_044.jpg,normal\IMG\left_2018_04_20_13_48_33_044.jpg,normal\IMG\right_2018_04_20_13_48_33_044.jpg,0.0,1.0,0,30.19031
normal\IMG\center_2018_04_20_13_48_33_167.jpg,normal\IMG\left_2018_04_20_13_48_33_167.jpg,normal\IMG\right_2018_04_20_13_48_33_167.jpg,0.0,1.0,0,30.19009
normal\IMG\center_2018_04_20_13_48_33_293.jpg,normal\IMG\left_2018_04_20_13_48_33_293.jpg,normal\IMG\right_2018_04_20_13_48_33_293.jpg,0.0,1.0,0,30.19029
normal\IMG\center_2018_04_20_13_48_33_419.jpg,normal\IMG\left_2018_04_20_13_48_33_419.jpg,normal\IMG\right_2018_04_20_13_48_33_419.jpg,0.0,1.0,0,30.19032
normal\IMG\center_2018_04_20_13_48_33_547.jpg,normal\IMG\left_2018_04_20_13_48_33_547.jpg,normal\IMG\right_2018_04_20_13_48_33_547.jpg,0.0,1.0,0,30.1903
normal\IMG\center_2018_04_20_13_48_33_672.jpg,normal\IMG\left_2018_04_20_13_48_33_672.jpg,normal\IMG\right_2018_04_20_13_48_33_672.jpg,0.0,1.0,0,30.1903
normal\IMG\center_2018_04_20_13_48_33_802.jpg,normal\IMG\left_2018_04_20_13_48_33_802.jpg,normal\IMG\right_2018_04_20_13_48_33_802.jpg,0.0,1.0,0,30.19029
normal\IMG\center_2018_04_20_13_48_33_930.jpg,normal\IMG\left_2018_04_20_13_48_33_930.jpg,normal\IMG\right_2018_04_20_13_48_33_930.jpg,0.0,1.0,0,30.19029
normal\IMG\center_2018_04_20_13_48_34_058.jpg,normal\IMG\left_2018_04_20_13_48_34_058.jpg,normal\IMG\right_2018_04_20_13_48_34_058.jpg,0.0,1.0,0,30.19026
normal\IMG\center_2018_04_20_13_48_34_185.jpg,normal\IMG\left_2018_04_20_13_48_34_185.jpg,normal\IMG\right_2018_04_20_13_48_34_185.jpg,0.0,1.0,0,30.19032
normal\IMG\center_2018_04_20_13_48_34_316.jpg,normal\IMG\left_2018_04_20_13_48_34_316.jpg,normal\IMG\right_2018_04_20_13_48_34_316.jpg,0.0,1.0,0,30.1903
normal\IMG\center_2018_04_20_13_48_34_462.jpg,normal\IMG\left_2018_04_20_13_48_34_462.jpg,normal\IMG\right_2018_04_20_13_48_34_462.jpg,-0.15,1.0,0,30.18424000000001
normal\IMG\center_2018_04_20_13_48_34_576.jpg,normal\IMG\left_2018_04_20_13_48_34_576.jpg,normal\IMG\right_2018_04_20_13_48_34_576.jpg,-0.2225625,1.0,0,30.18408
normal\IMG\center_2018_04_20_13_48_34_650.jpg,normal\IMG\left_2018_04_20_13_48_34_650.jpg,normal\IMG\right_2018_04_20_13_48_34_650.jpg,-0.003234297,1.0,0,30.189290000000003
normal\IMG\center_2018_04_20_13_48_34_717.jpg,normal\IMG\left_2018_04_20_13_48_34_717.jpg,normal\IMG\right_2018_04_20_13_48_34_717.jpg,0.0,1.0,0,30.19
normal\IMG\center_2018_04_20_13_48_34_846.jpg,normal\IMG\left_2018_04_20_13_48_34_846.jpg,normal\IMG\right_2018_04_20_13_48_34_846.jpg,0.0,1.0,0,30.1903
normal\IMG\center_2018_04_20_13_48_34_925.jpg,normal\IMG\left_2018_04_20_13_48_34_925.jpg,normal\IMG\right_2018_04_20_13_48_34_925.jpg,0.0,1.0,0,30.19031
normal\IMG\center_2018_04_20_13_48_35_048.jpg,normal\IMG\left_2018_04_20_13_48_35_048.jpg,normal\IMG\right_2018_04_20_13_48_35_048.jpg,0.0,1.0,0,30.19032
normal\IMG\center_2018_04_20_13_48_35_118.jpg,normal\IMG\left_2018_04_20_13_48_35_118.jpg,normal\IMG\right_2018_04_20_13_48_35_118.jpg,0.0,1.0,0,30.19032
normal\IMG\center_2018_04_20_13_48_35_252.jpg,normal\IMG\left_2018_04_20_13_48_35_252.jpg,normal\IMG\right_2018_04_20_13_48_35_252.jpg,-0.2,1.0,0,30.17983
normal\IMG\center_2018_04_20_13_48_35_379.jpg,normal\IMG\left_2018_04_20_13_48_35_379.jpg,normal\IMG\right_2018_04_20_13_48_35_379.jpg,0.0,1.0,0,30.19024000000001
normal\IMG\center_2018_04_20_13_48_35_522.jpg,normal\IMG\left_2018_04_20_13_48_35_522.jpg,normal\IMG\right_2018_04_20_13_48_35_522.jpg,0.0,1.0,0,30.19029
normal\IMG\center_2018_04_20_13_48_35_650.jpg,normal\IMG\left_2018_04_20_13_48_35_650.jpg,normal\IMG\right_2018_04_20_13_48_35_650.jpg,0.0,1.0,0,30.19025
normal\IMG\center_2018_04_20_13_48_35_766.jpg,normal\IMG\left_2018_04_20_13_48_35_766.jpg,normal\IMG\right_2018_04_20_13_48_35_766.jpg,0.0,1.0,0,30.19028
normal\IMG\center_2018_04_20_13_48_35_886.jpg,normal\IMG\left_2018_04_20_13_48_35_886.jpg,normal\IMG\right_2018_04_20_13_48_35_886.jpg,0.0,1.0,0,30.19028
normal\IMG\center_2018_04_20_13_48_36_003.jpg,normal\IMG\left_2018_04_20_13_48_36_003.jpg,normal\IMG\right_2018_04_20_13_48_36_003.jpg,0.0,1.0,0,30.19032
normal\IMG\center_2018_04_20_13_48_36_137.jpg,normal\IMG\left_2018_04_20_13_48_36_137.jpg,normal\IMG\right_2018_04_20_13_48_36_137.jpg,-0.15,1.0,0,30.18422
normal\IMG\center_2018_04_20_13_48_36_245.jpg,normal\IMG\left_2018_04_20_13_48_36_245.jpg,normal\IMG\right_2018_04_20_13_48_36_245.jpg,-0.2452568,1.0,0,30.18222
normal\IMG\center_2018_04_20_13_48_36_360.jpg,normal\IMG\left_2018_04_20_13_48_36_360.jpg,normal\IMG\right_2018_04_20_13_48_36_360.jpg,0.0,1.0,0,30.18852
normal\IMG\center_2018_04_20_13_48_36_475.jpg,normal\IMG\left_2018_04_20_13_48_36_475.jpg,normal\IMG\right_2018_04_20_13_48_36_475.jpg,0.0,1.0,0,30.19017
normal\IMG\center_2018_04_20_13_48_36_586.jpg,normal\IMG\left_2018_04_20_13_48_36_586.jpg,normal\IMG\right_2018_04_20_13_48_36_586.jpg,0.0,1.0,0,30.19027
normal\IMG\center_2018_04_20_13_48_36_699.jpg,normal\IMG\left_2018_04_20_13_48_36_699.jpg,normal\IMG\right_2018_04_20_13_48_36_699.jpg,0.0,1.0,0,30.1903
normal\IMG\center_2018_04_20_13_48_36_812.jpg,normal\IMG\left_2018_04_20_13_48_36_812.jpg,normal\IMG\right_2018_04_20_13_48_36_812.jpg,0.0,1.0,0,30.19032
normal\IMG\center_2018_04_20_13_48_36_932.jpg,normal\IMG\left_2018_04_20_13_48_36_932.jpg,normal\IMG\right_2018_04_20_13_48_36_932.jpg,0.0,1.0,0,30.19031
normal\IMG\center_2018_04_20_13_48_37_034.jpg,normal\IMG\left_2018_04_20_13_48_37_034.jpg,normal\IMG\right_2018_04_20_13_48_37_034.jpg,0.0,1.0,0,30.1903
normal\IMG\center_2018_04_20_13_48_37_142.jpg,normal\IMG\left_2018_04_20_13_48_37_142.jpg,normal\IMG\right_2018_04_20_13_48_37_142.jpg,0.0,1.0,0,30.19027
normal\IMG\center_2018_04_20_13_48_37_266.jpg,normal\IMG\left_2018_04_20_13_48_37_266.jpg,normal\IMG\right_2018_04_20_13_48_37_266.jpg,0.0,1.0,0,30.19029
normal\IMG\center_2018_04_20_13_48_37_368.jpg,normal\IMG\left_2018_04_20_13_48_37_368.jpg,normal\IMG\right_2018_04_20_13_48_37_368.jpg,-0.15,1.0,0,30.1842
normal\IMG\center_2018_04_20_13_48_37_476.jpg,normal\IMG\left_2018_04_20_13_48_37_476.jpg,normal\IMG\right_2018_04_20_13_48_37_476.jpg,0.0,1.0,0,30.19022
normal\IMG\center_2018_04_20_13_48_37_591.jpg,normal\IMG\left_2018_04_20_13_48_37_591.jpg,normal\IMG\right_2018_04_20_13_48_37_591.jpg,0.0,1.0,0,30.19034000000001
normal\IMG\center_2018_04_20_13_48_37_703.jpg,normal\IMG\left_2018_04_20_13_48_37_703.jpg,normal\IMG\right_2018_04_20_13_48_37_703.jpg,0.0,1.0,0,30.1903
normal\IMG\center_2018_04_20_13_48_37_817.jpg,normal\IMG\left_2018_04_20_13_48_37_817.jpg,normal\IMG\right_2018_04_20_13_48_37_817.jpg,0.0,1.0,0,30.19029
normal\IMG\center_2018_04_20_13_48_37_930.jpg,normal\IMG\left_2018_04_20_13_48_37_930.jpg,normal\IMG\right_2018_04_20_13_48_37_930.jpg,0.0,1.0,0,30.19029
normal\IMG\center_2018_04_20_13_48_38_001.jpg,normal\IMG\left_2018_04_20_13_48_38_001.jpg,normal\IMG\right_2018_04_20_13_48_38_001.jpg,0.0,1.0,0,30.1903
normal\IMG\center_2018_04_20_13_48_38_106.jpg,normal\IMG\left_2018_04_20_13_48_38_106.jpg,normal\IMG\right_2018_04_20_13_48_38_106.jpg,-0.15,1.0,0,30.06256
normal\IMG\center_2018_04_20_13_48_38_221.jpg,normal\IMG\left_2018_04_20_13_48_38_221.jpg,normal\IMG\right_2018_04_20_13_48_38_221.jpg,-0.4,1.0,0,30.0734
normal\IMG\center_2018_04_20_13_48_38_290.jpg,normal\IMG\left_2018_04_20_13_48_38_290.jpg,normal\IMG\right_2018_04_20_13_48_38_290.jpg,-0.2875687,1.0,0,30.27946
normal\IMG\center_2018_04_20_13_48_38_393.jpg,normal\IMG\left_2018_04_20_13_48_38_393.jpg,normal\IMG\right_2018_04_20_13_48_38_393.jpg,0.0,1.0,0,30.080990000000003
normal\IMG\center_2018_04_20_13_48_38_516.jpg,normal\IMG\left_2018_04_20_13_48_38_516.jpg,normal\IMG\right_2018_04_20_13_48_38_516.jpg,0.0,1.0,0,30.15718
normal\IMG\center_2018_04_20_13_48_38_629.jpg,normal\IMG\left_2018_04_20_13_48_38_629.jpg,normal\IMG\right_2018_04_20_13_48_38_629.jpg,0.0,1.0,0,30.18882
