center,left,right,speed,steering,throttle,brake
recovery\IMG\center_2018_04_19_16_45_46_976.jpg,recovery\IMG\left_2018_04_19_16_45_46_976.jpg,recovery\IMG\right_2018_04_19_16_45_46_976.jpg,12.60233,0,0,0
recovery\IMG\center_2018_04_19_16_45_47_085.jpg,recovery\IMG\left_2018_04_19_16_45_47_085.jpg,recovery\IMG\right_2018_04_19_16_45_47_085.jpg,12.48795,0,0,0
recovery\IMG\center_2018_04_19_16_45_47_181.jpg,recovery\IMG\left_2018_04_19_16_45_47_181.jpg,recovery\IMG\right_2018_04_19_16_45_47_181.jpg,12.21841,0,0,0
recovery\IMG\center_2018_04_19_16_45_47_313.jpg,recovery\IMG\left_2018_04_19_16_45_47_313.jpg,recovery\IMG\right_2018_04_19_16_45_47_313.jpg,11.97636,0,0,0
recovery\IMG\center_2018_04_19_16_45_47_404.jpg,recovery\IMG\left_2018_04_19_16_45_47_404.jpg,recovery\IMG\right_2018_04_19_16_45_47_404.jpg,11.85479,0,0,0
recovery\IMG\center_2018_04_19_16_45_47_526.jpg,recovery\IMG\left_2018_04_19_16_45_47_526.jpg,recovery\IMG\right_2018_04_19_16_45_47_526.jpg,12.18167,0,0.3520169,0
recovery\IMG\center_2018_04_19_16_45_47_627.jpg,recovery\IMG\left_2018_04_19_16_45_47_627.jpg,recovery\IMG\right_2018_04_19_16_45_47_627.jpg,12.37576,0,0.3355617,0
recovery\IMG\center_2018_04_19_16_45_47_752.jpg,recovery\IMG\left_2018_04_19_16_45_47_752.jpg,recovery\IMG\right_2018_04_19_16_45_47_752.jpg,12.59468,-0.15,0.3752642,0
recovery\IMG\center_2018_04_19_16_45_47_841.jpg,recovery\IMG\left_2018_04_19_16_45_47_841.jpg,recovery\IMG\right_2018_04_19_16_45_47_841.jpg,13.3018,-0.4,0.6591072,0
recovery\IMG\center_2018_04_19_16_45_47_917.jpg,recovery\IMG\left_2018_04_19_16_45_47_917.jpg,recovery\IMG\right_2018_04_19_16_45_47_917.jpg,13.55475,-0.2880037,0.4580791,0
recovery\IMG\center_2018_04_19_16_45_48_020.jpg,recovery\IMG\left_2018_04_19_16_45_48_020.jpg,recovery\IMG\right_2018_04_19_16_45_48_020.jpg,13.77706,0,0.1453952,0
recovery\IMG\center_2018_04_19_16_45_48_092.jpg,recovery\IMG\left_2018_04_19_16_45_48_092.jpg,recovery\IMG\right_2018_04_19_16_45_48_092.jpg,13.44558,0,0,0
recovery\IMG\center_2018_04_19_16_45_48_190.jpg,recovery\IMG\left_2018_04_19_16_45_48_190.jpg,recovery\IMG\right_2018_04_19_16_45_48_190.jpg,13.58708,0,0,0
recovery\IMG\center_2018_04_19_16_45_48_315.jpg,recovery\IMG\left_2018_04_19_16_45_48_315.jpg,recovery\IMG\right_2018_04_19_16_45_48_315.jpg,13.41512,0,0,0
recovery\IMG\center_2018_04_19_16_45_48_409.jpg,recovery\IMG\left_2018_04_19_16_45_48_409.jpg,recovery\IMG\right_2018_04_19_16_45_48_409.jpg,13.04075,0,0,0
recovery\IMG\center_2018_04_19_16_45_48_546.jpg,recovery\IMG\left_2018_04_19_16_45_48_546.jpg,recovery\IMG\right_2018_04_19_16_45_48_546.jpg,13.08012,0,0,0
recovery\IMG\center_2018_04_19_16_45_48_637.jpg,recovery\IMG\left_2018_04_19_16_45_48_637.jpg,recovery\IMG\right_2018_04_19_16_45_48_637.jpg,12.83327,-0.15,0.1684153,0
recovery\IMG\center_2018_04_19_16_45_52_859.jpg,recovery\IMG\left_2018_04_19_16_45_52_859.jpg,recovery\IMG\right_2018_04_19_16_45_52_859.jpg,11.86963,0,0,0
recovery\IMG\center_2018_04_19_16_46_14_880.jpg,recovery\IMG\left_2018_04_19_16_46_14_880.jpg,recovery\IMG\right_2018_04_19_16_46_14_880.jpg,2.349963,0,0,0
recovery\IMG\center_2018_04_19_16_46_14_997.jpg,recovery\IMG\left_2018_04_19_16_46_14_997.jpg,recovery\IMG\right_2018_04_19_16_46_14_997.jpg,2.334751,-0.3,0.1729454,0
recovery\IMG\center_2018_04_19_16_46_15_127.jpg,recovery\IMG\left_2018_04_19_16_46_15_127.jpg,recovery\IMG\right_2018_04_19_16_46_15_127.jpg,2.947214,-0.6000001,0.5495169,0
recovery\IMG\center_2018_04_19_16_46_15_235.jpg,recovery\IMG\left_2018_04_19_16_46_15_235.jpg,recovery\IMG\right_2018_04_19_16_46_15_235.jpg,3.994846,-0.9000002,0.8862525,0
recovery\IMG\center_2018_04_19_16_46_15_352.jpg,recovery\IMG\left_2018_04_19_16_46_15_352.jpg,recovery\IMG\right_2018_04_19_16_46_15_352.jpg,5.253446,-0.8229376,0.8229376,0
recovery\IMG\center_2018_04_19_16_46_15_470.jpg,recovery\IMG\left_2018_04_19_16_46_15_470.jpg,recovery\IMG\right_2018_04_19_16_46_15_470.jpg,5.878503,-0.4693414,0.4693414,0
recovery\IMG\center_2018_04_19_16_46_15_589.jpg,recovery\IMG\left_2018_04_19_16_46_15_589.jpg,recovery\IMG\right_2018_04_19_16_46_15_589.jpg,6.80657,-0.7693414,0.8269148,0
recovery\IMG\center_2018_04_19_16_46_15_707.jpg,recovery\IMG\left_2018_04_19_16_46_15_707.jpg,recovery\IMG\right_2018_04_19_16_46_15_707.jpg,8.027213,-0.8213724,0.8213724,0
recovery\IMG\center_2018_04_19_16_46_15_780.jpg,recovery\IMG\left_2018_04_19_16_46_15_780.jpg,recovery\IMG\right_2018_04_19_16_46_15_780.jpg,8.599005,-0.609239,0.609239,0
recovery\IMG\center_2018_04_19_16_46_15_886.jpg,recovery\IMG\left_2018_04_19_16_46_15_886.jpg,recovery\IMG\right_2018_04_19_16_46_15_886.jpg,8.977584,-0.2867648,0.2867648,0
recovery\IMG\center_2018_04_19_16_46_16_011.jpg,recovery\IMG\left_2018_04_19_16_46_16_011.jpg,recovery\IMG\right_2018_04_19_16_46_16_011.jpg,9.644648,-0.2631138,0.6597131,0
recovery\IMG\center_2018_04_19_16_46_16_116.jpg,recovery\IMG\left_2018_04_19_16_46_16_116.jpg,recovery\IMG\right_2018_04_19_16_46_16_116.jpg,10.54219,-0.5631139,0.657323,0
recovery\IMG\center_2018_04_19_16_46_16_190.jpg,recovery\IMG\left_2018_04_19_16_46_16_190.jpg,recovery\IMG\right_2018_04_19_16_46_16_190.jpg,10.81944,-0.410977,0.4368902,0
recovery\IMG\center_2018_04_19_16_46_16_299.jpg,recovery\IMG\left_2018_04_19_16_46_16_299.jpg,recovery\IMG\right_2018_04_19_16_46_16_299.jpg,11.01144,-0.08535954,0.1112727,0
recovery\IMG\center_2018_04_19_16_46_16_419.jpg,recovery\IMG\left_2018_04_19_16_46_16_419.jpg,recovery\IMG\right_2018_04_19_16_46_16_419.jpg,10.88154,0,0,0
recovery\IMG\center_2018_04_19_16_46_16_536.jpg,recovery\IMG\left_2018_04_19_16_46_16_536.jpg,recovery\IMG\right_2018_04_19_16_46_16_536.jpg,10.75388,0,0,0
recovery\IMG\center_2018_04_19_16_46_16_653.jpg,recovery\IMG\left_2018_04_19_16_46_16_653.jpg,recovery\IMG\right_2018_04_19_16_46_16_653.jpg,10.77182,-0.02129968,0.02129968,0
recovery\IMG\center_2018_04_19_16_46_16_777.jpg,recovery\IMG\left_2018_04_19_16_46_16_777.jpg,recovery\IMG\right_2018_04_19_16_46_16_777.jpg,10.64495,0,0,0
recovery\IMG\center_2018_04_19_16_46_16_891.jpg,recovery\IMG\left_2018_04_19_16_46_16_891.jpg,recovery\IMG\right_2018_04_19_16_46_16_891.jpg,10.60133,-0.1,0.1581247,0
recovery\IMG\center_2018_04_19_16_46_16_961.jpg,recovery\IMG\left_2018_04_19_16_46_16_961.jpg,recovery\IMG\right_2018_04_19_16_46_16_961.jpg,10.83247,-0.3,0.3651249,0
recovery\IMG\center_2018_04_19_16_46_17_082.jpg,recovery\IMG\left_2018_04_19_16_46_17_082.jpg,recovery\IMG\right_2018_04_19_16_46_17_082.jpg,11.57323,-0.6000001,0.7289284,0
recovery\IMG\center_2018_04_19_16_46_17_210.jpg,recovery\IMG\left_2018_04_19_16_46_17_210.jpg,recovery\IMG\right_2018_04_19_16_46_17_210.jpg,12.06322,-0.3625628,0.3625628,0
recovery\IMG\center_2018_04_19_16_46_17_335.jpg,recovery\IMG\left_2018_04_19_16_46_17_335.jpg,recovery\IMG\right_2018_04_19_16_46_17_335.jpg,12.06206,0,0,0
recovery\IMG\center_2018_04_19_16_46_17_453.jpg,recovery\IMG\left_2018_04_19_16_46_17_453.jpg,recovery\IMG\right_2018_04_19_16_46_17_453.jpg,11.94709,0,0,0
recovery\IMG\center_2018_04_19_16_46_17_527.jpg,recovery\IMG\left_2018_04_19_16_46_17_527.jpg,recovery\IMG\right_2018_04_19_16_46_17_527.jpg,11.74264,0,0,0
recovery\IMG\center_2018_04_19_16_46_17_623.jpg,recovery\IMG\left_2018_04_19_16_46_17_623.jpg,recovery\IMG\right_2018_04_19_16_46_17_623.jpg,11.62276,0,0,0
recovery\IMG\center_2018_04_19_16_46_17_747.jpg,recovery\IMG\left_2018_04_19_16_46_17_747.jpg,recovery\IMG\right_2018_04_19_16_46_17_747.jpg,11.54761,0,0,0
recovery\IMG\center_2018_04_19_16_46_17_822.jpg,recovery\IMG\left_2018_04_19_16_46_17_822.jpg,recovery\IMG\right_2018_04_19_16_46_17_822.jpg,11.3527,0,0,0
recovery\IMG\center_2018_04_19_16_46_17_895.jpg,recovery\IMG\left_2018_04_19_16_46_17_895.jpg,recovery\IMG\right_2018_04_19_16_46_17_895.jpg,11.64559,-0.15,0.2007522,0
recovery\IMG\center_2018_04_19_16_46_18_011.jpg,recovery\IMG\left_2018_04_19_16_46_18_011.jpg,recovery\IMG\right_2018_04_19_16_46_18_011.jpg,11.77152,-0.45,0.1647152,0
recovery\IMG\center_2018_04_19_16_46_18_125.jpg,recovery\IMG\left_2018_04_19_16_46_18_125.jpg,recovery\IMG\right_2018_04_19_16_46_18_125.jpg,11.76783,-0.1972241,0,0
recovery\IMG\center_2018_04_19_16_46_18_238.jpg,recovery\IMG\left_2018_04_19_16_46_18_238.jpg,recovery\IMG\right_2018_04_19_16_46_18_238.jpg,11.41197,0,0,0
recovery\IMG\center_2018_04_19_16_46_18_359.jpg,recovery\IMG\left_2018_04_19_16_46_18_359.jpg,recovery\IMG\right_2018_04_19_16_46_18_359.jpg,11.19467,0,0,0
recovery\IMG\center_2018_04_19_16_46_18_477.jpg,recovery\IMG\left_2018_04_19_16_46_18_477.jpg,recovery\IMG\right_2018_04_19_16_46_18_477.jpg,11.11107,0,0.1837133,0
recovery\IMG\center_2018_04_19_16_46_18_600.jpg,recovery\IMG\left_2018_04_19_16_46_18_600.jpg,recovery\IMG\right_2018_04_19_16_46_18_600.jpg,11.78596,0,0.5495502,0
recovery\IMG\center_2018_04_19_16_46_18_720.jpg,recovery\IMG\left_2018_04_19_16_46_18_720.jpg,recovery\IMG\right_2018_04_19_16_46_18_720.jpg,12.44078,0,0.5483673,0
recovery\IMG\center_2018_04_19_16_46_18_842.jpg,recovery\IMG\left_2018_04_19_16_46_18_842.jpg,recovery\IMG\right_2018_04_19_16_46_18_842.jpg,12.62809,0,0.187317,0
recovery\IMG\center_2018_04_19_16_46_18_965.jpg,recovery\IMG\left_2018_04_19_16_46_18_965.jpg,recovery\IMG\right_2018_04_19_16_46_18_965.jpg,12.58546,0,0,0
recovery\IMG\center_2018_04_19_16_46_19_086.jpg,recovery\IMG\left_2018_04_19_16_46_19_086.jpg,recovery\IMG\right_2018_04_19_16_46_19_086.jpg,12.5069,0,0,0
recovery\IMG\center_2018_04_19_16_46_19_208.jpg,recovery\IMG\left_2018_04_19_16_46_19_208.jpg,recovery\IMG\right_2018_04_19_16_46_19_208.jpg,12.78242,0,0.3647195,0
recovery\IMG\center_2018_04_19_16_46_19_357.jpg,recovery\IMG\left_2018_04_19_16_46_19_357.jpg,recovery\IMG\right_2018_04_19_16_46_19_357.jpg,12.74646,0,0,0
recovery\IMG\center_2018_04_19_16_46_19_466.jpg,recovery\IMG\left_2018_04_19_16_46_19_466.jpg,recovery\IMG\right_2018_04_19_16_46_19_466.jpg,12.6588,0,0,0
recovery\IMG\center_2018_04_19_16_46_19_584.jpg,recovery\IMG\left_2018_04_19_16_46_19_584.jpg,recovery\IMG\right_2018_04_19_16_46_19_584.jpg,12.46165,0.15,0,0
recovery\IMG\center_2018_04_19_16_46_19_700.jpg,recovery\IMG\left_2018_04_19_16_46_19_700.jpg,recovery\IMG\right_2018_04_19_16_46_19_700.jpg,12.65572,0.45,0.3538669,0
recovery\IMG\center_2018_04_19_16_46_19_823.jpg,recovery\IMG\left_2018_04_19_16_46_19_823.jpg,recovery\IMG\right_2018_04_19_16_46_19_823.jpg,12.6234,0.1728825,0,0
recovery\IMG\center_2018_04_19_16_46_19_946.jpg,recovery\IMG\left_2018_04_19_16_46_19_946.jpg,recovery\IMG\right_2018_04_19_16_46_19_946.jpg,12.47401,0,0,0
recovery\IMG\center_2018_04_19_16_46_20_023.jpg,recovery\IMG\left_2018_04_19_16_46_20_023.jpg,recovery\IMG\right_2018_04_19_16_46_20_023.jpg,12.5256,0,0,0
recovery\IMG\center_2018_04_19_16_46_20_146.jpg,recovery\IMG\left_2018_04_19_16_46_20_146.jpg,recovery\IMG\right_2018_04_19_16_46_20_146.jpg,12.17662,0,0,0
recovery\IMG\center_2018_04_19_16_46_20_269.jpg,recovery\IMG\left_2018_04_19_16_46_20_269.jpg,recovery\IMG\right_2018_04_19_16_46_20_269.jpg,12.00556,0,0,0
recovery\IMG\center_2018_04_19_16_46_20_393.jpg,recovery\IMG\left_2018_04_19_16_46_20_393.jpg,recovery\IMG\right_2018_04_19_16_46_20_393.jpg,11.98915,0,0,0
recovery\IMG\center_2018_04_19_16_47_13_310.jpg,recovery\IMG\left_2018_04_19_16_47_13_310.jpg,recovery\IMG\right_2018_04_19_16_47_13_310.jpg,0.6492515,0.15,0.9633505,0
recovery\IMG\center_2018_04_19_16_47_13_438.jpg,recovery\IMG\left_2018_04_19_16_47_13_438.jpg,recovery\IMG\right_2018_04_19_16_47_13_438.jpg,1.840553,0.45,1,0
recovery\IMG\center_2018_04_19_16_47_13_571.jpg,recovery\IMG\left_2018_04_19_16_47_13_571.jpg,recovery\IMG\right_2018_04_19_16_47_13_571.jpg,3.211343,0.8000001,1,0
recovery\IMG\center_2018_04_19_16_47_13_682.jpg,recovery\IMG\left_2018_04_19_16_47_13_682.jpg,recovery\IMG\right_2018_04_19_16_47_13_682.jpg,4.411927,0.8083978,0.8083978,0
recovery\IMG\center_2018_04_19_16_47_13_797.jpg,recovery\IMG\left_2018_04_19_16_47_13_797.jpg,recovery\IMG\right_2018_04_19_16_47_13_797.jpg,5.177722,0.4607443,0.4607443,0
recovery\IMG\center_2018_04_19_16_47_13_919.jpg,recovery\IMG\left_2018_04_19_16_47_13_919.jpg,recovery\IMG\right_2018_04_19_16_47_13_919.jpg,5.634915,0.4204046,0.4474156,0
recovery\IMG\center_2018_04_19_16_47_14_050.jpg,recovery\IMG\left_2018_04_19_16_47_14_050.jpg,recovery\IMG\right_2018_04_19_16_47_14_050.jpg,6.341788,0.4529323,0.4529323,0
recovery\IMG\center_2018_04_19_16_47_14_170.jpg,recovery\IMG\left_2018_04_19_16_47_14_170.jpg,recovery\IMG\right_2018_04_19_16_47_14_170.jpg,6.560296,0.09402078,0.09402078,0
recovery\IMG\center_2018_04_19_16_47_14_297.jpg,recovery\IMG\left_2018_04_19_16_47_14_297.jpg,recovery\IMG\right_2018_04_19_16_47_14_297.jpg,6.469761,0,0,0
recovery\IMG\center_2018_04_19_16_47_14_384.jpg,recovery\IMG\left_2018_04_19_16_47_14_384.jpg,recovery\IMG\right_2018_04_19_16_47_14_384.jpg,6.63938,0.2,0.2504759,0
recovery\IMG\center_2018_04_19_16_47_14_497.jpg,recovery\IMG\left_2018_04_19_16_47_14_497.jpg,recovery\IMG\right_2018_04_19_16_47_14_497.jpg,7.23464,0.5000001,0.5982193,0
recovery\IMG\center_2018_04_19_16_47_14_609.jpg,recovery\IMG\left_2018_04_19_16_47_14_609.jpg,recovery\IMG\right_2018_04_19_16_47_14_609.jpg,7.886465,0.5525627,0.5525627,0
recovery\IMG\center_2018_04_19_16_47_14_731.jpg,recovery\IMG\left_2018_04_19_16_47_14_731.jpg,recovery\IMG\right_2018_04_19_16_47_14_731.jpg,8.256523,0.1837326,0.1837326,0
recovery\IMG\center_2018_04_19_16_47_14_855.jpg,recovery\IMG\left_2018_04_19_16_47_14_855.jpg,recovery\IMG\right_2018_04_19_16_47_14_855.jpg,8.278054,0.15,0.1832989,0
recovery\IMG\center_2018_04_19_16_47_14_981.jpg,recovery\IMG\left_2018_04_19_16_47_14_981.jpg,recovery\IMG\right_2018_04_19_16_47_14_981.jpg,8.783461,0.45,0.5599653,0
recovery\IMG\center_2018_04_19_16_47_15_102.jpg,recovery\IMG\left_2018_04_19_16_47_15_102.jpg,recovery\IMG\right_2018_04_19_16_47_15_102.jpg,9.116464,0.1956038,0.1956038,0
recovery\IMG\center_2018_04_19_16_47_15_224.jpg,recovery\IMG\left_2018_04_19_16_47_15_224.jpg,recovery\IMG\right_2018_04_19_16_47_15_224.jpg,9.014164,0,0,0
recovery\IMG\center_2018_04_19_16_47_15_301.jpg,recovery\IMG\left_2018_04_19_16_47_15_301.jpg,recovery\IMG\right_2018_04_19_16_47_15_301.jpg,8.940933,0,0,0
recovery\IMG\center_2018_04_19_16_47_15_418.jpg,recovery\IMG\left_2018_04_19_16_47_15_418.jpg,recovery\IMG\right_2018_04_19_16_47_15_418.jpg,9.191631,0.3,0.3486299,0
recovery\IMG\center_2018_04_19_16_47_15_493.jpg,recovery\IMG\left_2018_04_19_16_47_15_493.jpg,recovery\IMG\right_2018_04_19_16_47_15_493.jpg,9.607445,0.5000001,0.5752786,0
recovery\IMG\center_2018_04_19_16_47_15_596.jpg,recovery\IMG\left_2018_04_19_16_47_15_596.jpg,recovery\IMG\right_2018_04_19_16_47_15_596.jpg,10.17738,0.5085533,0.5085533,0
recovery\IMG\center_2018_04_19_16_47_15_723.jpg,recovery\IMG\left_2018_04_19_16_47_15_723.jpg,recovery\IMG\right_2018_04_19_16_47_15_723.jpg,10.40554,0.127648,0.127648,0
recovery\IMG\center_2018_04_19_16_47_15_840.jpg,recovery\IMG\left_2018_04_19_16_47_15_840.jpg,recovery\IMG\right_2018_04_19_16_47_15_840.jpg,10.27642,0,0,0
recovery\IMG\center_2018_04_19_16_47_15_967.jpg,recovery\IMG\left_2018_04_19_16_47_15_967.jpg,recovery\IMG\right_2018_04_19_16_47_15_967.jpg,10.51399,0.3,0.3790681,0
recovery\IMG\center_2018_04_19_16_47_16_038.jpg,recovery\IMG\left_2018_04_19_16_47_16_038.jpg,recovery\IMG\right_2018_04_19_16_47_16_038.jpg,10.92651,0.5000001,0.5900596,0
recovery\IMG\center_2018_04_19_16_47_16_168.jpg,recovery\IMG\left_2018_04_19_16_47_16_168.jpg,recovery\IMG\right_2018_04_19_16_47_16_168.jpg,11.28304,0.2028524,0.2028524,0
recovery\IMG\center_2018_04_19_16_47_16_281.jpg,recovery\IMG\left_2018_04_19_16_47_16_281.jpg,recovery\IMG\right_2018_04_19_16_47_16_281.jpg,11.1507,0,0,0
recovery\IMG\center_2018_04_19_16_47_16_351.jpg,recovery\IMG\left_2018_04_19_16_47_16_351.jpg,recovery\IMG\right_2018_04_19_16_47_16_351.jpg,11.21127,0.15,0.2059046,0
recovery\IMG\center_2018_04_19_16_47_16_484.jpg,recovery\IMG\left_2018_04_19_16_47_16_484.jpg,recovery\IMG\right_2018_04_19_16_47_16_484.jpg,11.66079,0.5000001,0.5845044,0
recovery\IMG\center_2018_04_19_16_47_16_608.jpg,recovery\IMG\left_2018_04_19_16_47_16_608.jpg,recovery\IMG\right_2018_04_19_16_47_16_608.jpg,11.99476,0.5354107,0.2047538,0
recovery\IMG\center_2018_04_19_16_47_16_726.jpg,recovery\IMG\left_2018_04_19_16_47_16_726.jpg,recovery\IMG\right_2018_04_19_16_47_16_726.jpg,11.85184,0.1792075,0,0
recovery\IMG\center_2018_04_19_16_47_16_800.jpg,recovery\IMG\left_2018_04_19_16_47_16_800.jpg,recovery\IMG\right_2018_04_19_16_47_16_800.jpg,11.9977,0,0,0
recovery\IMG\center_2018_04_19_16_47_16_876.jpg,recovery\IMG\left_2018_04_19_16_47_16_876.jpg,recovery\IMG\right_2018_04_19_16_47_16_876.jpg,11.80462,0,0,0
recovery\IMG\center_2018_04_19_16_47_16_982.jpg,recovery\IMG\left_2018_04_19_16_47_16_982.jpg,recovery\IMG\right_2018_04_19_16_47_16_982.jpg,11.70314,0,0,0
recovery\IMG\center_2018_04_19_16_47_17_060.jpg,recovery\IMG\left_2018_04_19_16_47_17_060.jpg,recovery\IMG\right_2018_04_19_16_47_17_060.jpg,11.32003,0,0.2199145,0
recovery\IMG\center_2018_04_19_16_47_17_169.jpg,recovery\IMG\left_2018_04_19_16_47_17_169.jpg,recovery\IMG\right_2018_04_19_16_47_17_169.jpg,12.19896,0,0.5591827,0
recovery\IMG\center_2018_04_19_16_47_17_290.jpg,recovery\IMG\left_2018_04_19_16_47_17_290.jpg,recovery\IMG\right_2018_04_19_16_47_17_290.jpg,13.21046,0,0.9276702,0
recovery\IMG\center_2018_04_19_16_47_17_432.jpg,recovery\IMG\left_2018_04_19_16_47_17_432.jpg,recovery\IMG\right_2018_04_19_16_47_17_432.jpg,14.65225,0,1,0
recovery\IMG\center_2018_04_19_16_47_17_533.jpg,recovery\IMG\left_2018_04_19_16_47_17_533.jpg,recovery\IMG\right_2018_04_19_16_47_17_533.jpg,15.93346,0,1,0
recovery\IMG\center_2018_04_19_16_47_17_658.jpg,recovery\IMG\left_2018_04_19_16_47_17_658.jpg,recovery\IMG\right_2018_04_19_16_47_17_658.jpg,17.19686,0,1,0
recovery\IMG\center_2018_04_19_16_47_17_785.jpg,recovery\IMG\left_2018_04_19_16_47_17_785.jpg,recovery\IMG\right_2018_04_19_16_47_17_785.jpg,18.44001,0,1,0
recovery\IMG\center_2018_04_19_16_47_17_907.jpg,recovery\IMG\left_2018_04_19_16_47_17_907.jpg,recovery\IMG\right_2018_04_19_16_47_17_907.jpg,19.62534,-0.3,1,0
recovery\IMG\center_2018_04_19_16_47_18_030.jpg,recovery\IMG\left_2018_04_19_16_47_18_030.jpg,recovery\IMG\right_2018_04_19_16_47_18_030.jpg,20.6416,-0.3577325,0.8103068,0
recovery\IMG\center_2018_04_19_16_47_18_155.jpg,recovery\IMG\left_2018_04_19_16_47_18_155.jpg,recovery\IMG\right_2018_04_19_16_47_18_155.jpg,21.34712,0,0.4359549,0
recovery\IMG\center_2018_04_19_16_47_18_283.jpg,recovery\IMG\left_2018_04_19_16_47_18_283.jpg,recovery\IMG\right_2018_04_19_16_47_18_283.jpg,21.3651,0,0.05142141,0
recovery\IMG\center_2018_04_19_16_47_18_428.jpg,recovery\IMG\left_2018_04_19_16_47_18_428.jpg,recovery\IMG\right_2018_04_19_16_47_18_428.jpg,20.91816,0,0,0
recovery\IMG\center_2018_04_19_16_47_18_556.jpg,recovery\IMG\left_2018_04_19_16_47_18_556.jpg,recovery\IMG\right_2018_04_19_16_47_18_556.jpg,20.78528,0,0,0
recovery\IMG\center_2018_04_19_16_47_18_667.jpg,recovery\IMG\left_2018_04_19_16_47_18_667.jpg,recovery\IMG\right_2018_04_19_16_47_18_667.jpg,20.37329,0,0,0
recovery\IMG\center_2018_04_19_16_48_22_718.jpg,recovery\IMG\left_2018_04_19_16_48_22_718.jpg,recovery\IMG\right_2018_04_19_16_48_22_718.jpg,0.6385986,0,0.7232783,0
recovery\IMG\center_2018_04_19_16_48_22_837.jpg,recovery\IMG\left_2018_04_19_16_48_22_837.jpg,recovery\IMG\right_2018_04_19_16_48_22_837.jpg,1.920226,0,1,0
recovery\IMG\center_2018_04_19_16_48_22_954.jpg,recovery\IMG\left_2018_04_19_16_48_22_954.jpg,recovery\IMG\right_2018_04_19_16_48_22_954.jpg,3.328496,0.3,1,0
recovery\IMG\center_2018_04_19_16_48_23_076.jpg,recovery\IMG\left_2018_04_19_16_48_23_076.jpg,recovery\IMG\right_2018_04_19_16_48_23_076.jpg,4.700048,0.6000001,1,0
recovery\IMG\center_2018_04_19_16_48_23_195.jpg,recovery\IMG\left_2018_04_19_16_48_23_195.jpg,recovery\IMG\right_2018_04_19_16_48_23_195.jpg,6.003482,0.9000002,1,0
recovery\IMG\center_2018_04_19_16_48_23_318.jpg,recovery\IMG\left_2018_04_19_16_48_23_318.jpg,recovery\IMG\right_2018_04_19_16_48_23_318.jpg,7.27039,1,1,0
recovery\IMG\center_2018_04_19_16_48_23_441.jpg,recovery\IMG\left_2018_04_19_16_48_23_441.jpg,recovery\IMG\right_2018_04_19_16_48_23_441.jpg,8.278749,0.6283281,0.6283281,0
recovery\IMG\center_2018_04_19_16_48_23_529.jpg,recovery\IMG\left_2018_04_19_16_48_23_529.jpg,recovery\IMG\right_2018_04_19_16_48_23_529.jpg,9.010372,0.8283282,0.8792864,0
recovery\IMG\center_2018_04_19_16_48_23_638.jpg,recovery\IMG\left_2018_04_19_16_48_23_638.jpg,recovery\IMG\right_2018_04_19_16_48_23_638.jpg,10.19511,1,1,0
recovery\IMG\center_2018_04_19_16_48_23_772.jpg,recovery\IMG\left_2018_04_19_16_48_23_772.jpg,recovery\IMG\right_2018_04_19_16_48_23_772.jpg,11.6375,1,1,0
recovery\IMG\center_2018_04_19_16_48_23_913.jpg,recovery\IMG\left_2018_04_19_16_48_23_913.jpg,recovery\IMG\right_2018_04_19_16_48_23_913.jpg,12.61138,0.7969602,0.7969602,0
recovery\IMG\center_2018_04_19_16_48_24_049.jpg,recovery\IMG\left_2018_04_19_16_48_24_049.jpg,recovery\IMG\right_2018_04_19_16_48_24_049.jpg,13.60073,0.3751529,0.3751529,0
recovery\IMG\center_2018_04_19_16_48_24_200.jpg,recovery\IMG\left_2018_04_19_16_48_24_200.jpg,recovery\IMG\right_2018_04_19_16_48_24_200.jpg,13.31222,0,0,0
recovery\IMG\center_2018_04_19_16_48_24_322.jpg,recovery\IMG\left_2018_04_19_16_48_24_322.jpg,recovery\IMG\right_2018_04_19_16_48_24_322.jpg,13.51915,0,0.2015464,0
recovery\IMG\center_2018_04_19_16_48_24_408.jpg,recovery\IMG\left_2018_04_19_16_48_24_408.jpg,recovery\IMG\right_2018_04_19_16_48_24_408.jpg,13.75084,0,0.4559584,0
recovery\IMG\center_2018_04_19_16_48_24_532.jpg,recovery\IMG\left_2018_04_19_16_48_24_532.jpg,recovery\IMG\right_2018_04_19_16_48_24_532.jpg,14.8236,0,0.8553858,0
recovery\IMG\center_2018_04_19_16_48_24_625.jpg,recovery\IMG\left_2018_04_19_16_48_24_625.jpg,recovery\IMG\right_2018_04_19_16_48_24_625.jpg,15.58884,0,1,0
recovery\IMG\center_2018_04_19_16_48_24_763.jpg,recovery\IMG\left_2018_04_19_16_48_24_763.jpg,recovery\IMG\right_2018_04_19_16_48_24_763.jpg,17.1225,0.2,1,0
recovery\IMG\center_2018_04_19_16_48_24_910.jpg,recovery\IMG\left_2018_04_19_16_48_24_910.jpg,recovery\IMG\right_2018_04_19_16_48_24_910.jpg,18.17015,0.5500001,0.7478486,0
recovery\IMG\center_2018_04_19_16_48_25_026.jpg,recovery\IMG\left_2018_04_19_16_48_25_026.jpg,recovery\IMG\right_2018_04_19_16_48_25_026.jpg,18.65013,0.3385727,0.3898979,0
recovery\IMG\center_2018_04_19_16_48_25_123.jpg,recovery\IMG\left_2018_04_19_16_48_25_123.jpg,recovery\IMG\right_2018_04_19_16_48_25_123.jpg,18.59164,0.05975374,0.1110789,0
